url,parenturl,depth
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRF0000084,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRG0000085,67
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSz0000134,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJt0000163,114
http://www.chcedo.com/product/productdetail.htm?pid=15218FRPm0005670&categorytType=1,http://www.chcedo.com/makeup/productList_102002.htm,9
http://www.chcedo.com/product/productdetail.htm?pid=15218FROd0004349,http://www.chcedo.com/product/productdetail.htm?pid=15218FRN40003421,23
http://www.chcedo.com/product/productdetail.htm?pid=16617FOIN0000016,http://www.chcedo.com/product/productdetail.htm?pid=16617FNTI0000009,21
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRH0000088,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRO0000091,63
http://www.chcedo.com/product/productdetail.htm?pid=15218DOR70891858,http://www.chcedo.com/mask/productList_101001005.htm,6
http://jala.weisk.com/webchat/index.html?appKey=45fe134acefe3ad570f75e5527662d76,http://www.chcedo.com/product/productdetail.htm?pid=15217JGNe0005973,17
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSr0000118,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSs0000119,33
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR60000070,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR70000071,81
http://www.chcedo.com/product/productdetail.htm?pid=15218FRNK0004104&categorytType=1,http://www.chcedo.com/makeup/productList_102001.htm,9
http://www.chcedo.com/product/productdetail.htm?pid=15218D8Pc0472437,http://www.chcedo.com/product/productdetail.htm?pid=11717GFRd0000136,11
http://www.chcedo.com/product/productdetail.htm?pid=15218DORa0892033,http://www.chcedo.com/mask/productList_101001005.htm,6
http://www.chcedo.com/product/productdetail.htm?pid=15218FRPn0005675,http://www.chcedo.com/product/productdetail.htm?pid=15218FROd0004349,24
http://www.chcedo.com/product/productdetail.htm?pid=11717GHIx0000001,http://www.chcedo.com/product/productdetail.htm?pid=11717GHIP0000012,19
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQR0000055,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQT0000056,93
http://www.chcedo.com/login.htm,http://www.chcedo.com/register.htm,17
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSt0000121,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSt0000122,29
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS30000098,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS40000099,57
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRE0000083,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRF0000084,68
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQV0000060,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQw0000026,88
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQH0000075,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQF0000070,9
http://www.chcedo.com/product/productdetail.htm?pid=11717GHNt0000115,http://www.chcedo.com/product/productdetail.htm?pid=11717GHNb0000098,17
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSq0000115,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSr0000116,35
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQE0000035,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQF0000036,24
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSM0000149,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSN0000150,41
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRB0000077,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRB0000078,74
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQf0000043,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQa0000035,13
http://www.chcedo.com/bestseller/bestsellerSkin.htm,http://www.chcedo.com/mask/maskIndex.htm,5
http://www.chcedo.com/skin/skinIndex.htm,http://www.chcedo.com/bestseller/bestsellerSkin.htm,6
http://www.chcedo.com/product/productdetail.htm?pid=15218FROk0004520&categorytType=1,http://www.chcedo.com/makeup/productList_102002.htm,9
http://www.chcedo.com/bestseller/bestsellerMakeup.htm,http://www.chcedo.com/bestseller/bestsellerSkin.htm,6
http://www.chcedo.com/video/videoIndex.htm,http://www.chcedo.com/beauty/beautyIndex.htm,15
http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSA0000007,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSB0000008,100
http://www.chcedo.com/topic/topicPage.htm?urlInfo=activity_zhongcao.html,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQV0000105,http://www.chcedo.com/skin/productList_100001003.htm,8
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GHOt0000148",http://www.chcedo.com/bestseller/bestsellerMakeup.htm,7
http://www.chcedo.com/forget.htm,http://www.chcedo.com/login.htm,18
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSI0000142,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSM0000149,42
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS50000102,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS60000104,55
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDKz0000169,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDO00000173,106
http://www.chcedo.com/activity/activityDetail_12.htm,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/skin/productList_100001006.htm,http://www.chcedo.com/skin/skinIndex.htm,7
http://www.chcedo.com/register.htm,http://www.chcedo.com/video/videoIndex.htm,16
javascript:window.history.go(-1);,http://www.chcedo.com/beauty/beautyVideoDetail.htm?vid=15218CEKy1641493,16
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSy0000132,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSz0000133,116
http://www.chcedo.com/makeup/productList_102004.htm,http://www.chcedo.com/makeup/makeupIndex.htm,8
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQ80000031,http://www.chcedo.com/product/productdetail.htm?pid=15218CMPr0032657,9
http://www.chcedo.com/product/productdetail.htm?pid=11717GHKS0000071,http://www.chcedo.com/product/productdetail.htm?pid=11717GHK30000055,19
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDO90000175,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDOb0000176,104
http://www.chcedo.com/product/productdetail.htm?pid=15217JGNH0006004&categorytType=1,http://www.chcedo.com/makeup/productList_102003.htm,9
http://www.chcedo.com/product/productdetail.htm?pid=11717GFR90000125,http://www.chcedo.com/product/productdetail.htm?pid=11717GFR70000121,9
http://www.chcedo.com/beauty/beautyOnline.htm,http://www.chcedo.com/beauty/beautyIndex.htm,15
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSx0000129,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSx0000130,118
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRE0000082,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRE0000083,69
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR70000071,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR80000072,80
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJt0000163,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJu0000164,113
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSw0000128,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSx0000129,119
http://www.chcedo.com/topic/topicPage.htm?urlInfo=haohaoguonian.html,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/product/productdetail.htm?pid=15218FRPn0005675&categorytType=1,http://www.chcedo.com/makeup/productList_102003.htm,9
http://www.chcedo.com/person/personalCenter.htm,http://www.chcedo.com/person/myCart.htm,18
http://www.chcedo.com/product/productdetail.htm?pid=16617FNTA0000001,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQl0000053,19
http://www.chcedo.com/product/productdetail.htm?pid=11717H4O30000035,http://www.chcedo.com/product/productdetail.htm?pid=11717H4Ns0000004,13
http://www.chcedo.com/product/productdetail.htm?pid=15218FROp0004579&categorytType=1,http://www.chcedo.com/makeup/productList_102002.htm,9
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSa0000113,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSG0000136,46
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR50000068,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR60000069,83
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQT0000056,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQT0000057,92
